123 application-vnd.lotus-1-2-3
rd chemical-x-mdl-rdfile
rdf application-rdf+xml
rdp application-x-rdp
rdz application-vnd.data-vision.rdz
rep application-vnd.businessobjects
res application-x-dtbresource+xml
rgb image-x-rgb
rif application-reginfo+xml
rip audio-vnd.rip
ris application-x-research-info-systems
rl application-resource-lists+xml
rlc image-vnd.fujixerox.edmics-rlc
rld application-resource-lists-diff+xml
rm audio-x-pn-realaudio
rmi audio-midi
rmp audio-x-pn-realaudio-plugin
rms application-vnd.jcp.javame.midlet-rms
rmvb application-vnd.rn-realmedia-vbr
rnc application-relax-ng-compact-syntax
roa application-rpki-roa
roff text-troff
ros chemical-x-rosdal
rp9 application-vnd.cloanto.rp9
rpm application-x-redhat-package-manager
rpss application-vnd.nokia.radio-presets
rpst application-vnd.nokia.radio-preset
rq application-sparql-query
rs application-rls-services+xml
rsd application-rsd+xml
rss application-rss+xml
rtf text-rtf
rtx text-richtext
rxn chemical-x-mdl-rxnfile
s3m audio-s3m
saf application-vnd.yamaha.smaf-audio
sbml application-sbml+xml
scala text-x-scala
sc application-vnd.ibm.secure-container
scd application-x-msschedule
sce application-x-scilab
sci application-x-scilab
scm application-vnd.lotus-screencam
sco audio-csound
scq application-scvp-cv-request
scr application-x-silverlight
scs application-scvp-cv-response
sct text-scriptlet
scurl text-vnd.curl.scurl
sd2 audio-x-sd2
sda application-vnd.stardivision.draw
sdc application-vnd.stardivision.calc
sd chemical-x-mdl-sdfile
sdd application-vnd.stardivision.impress
sdf chemical-x-mdl-sdfile
sdkd application-vnd.solent.sdkm+xml
sdkm application-vnd.solent.sdkm+xml
sdp application-sdp
sds application-vnd.stardivision.chart
sdw application-vnd.stardivision.writer
see application-vnd.seemail
seed application-vnd.fdsn.seed
sema application-vnd.sema
semd application-vnd.semd
semf application-vnd.semf
ser application-java-serialized-object
setpay application-set-payment-initiation
setreg application-set-registration-initiation
sfd-hdstx application-vnd.hydrostatix.sof-data
sfs application-vnd.spotfire.sfs
sfv text-x-sfv
sgf application-x-go-sgf
sgi image-sgi
sgl application-vnd.stardivision.writer-global
sgml text-sgml
sgm text-sgml
sha1 application-x-sha1
shar application-x-shar
shf application-shf+xml
shp application-x-qgis
sh text-x-sh
shtml text-html
shx application-x-qgis
sid audio-prs.sid
sig application-pgp-signature
sik application-x-trash
sil audio-silk
silo model-mesh
sis application-vnd.symbian.install
sisx x-epoc-x-sisx-app
sit application-x-stuffit
sitx application-x-stuffit
skd application-x-koan
skm application-x-koan
skp application-x-koan
skt application-x-koan
sldm application-vnd.ms-powerpoint.slide.macroEnabled.12
sldx application-vnd.openxmlformats-officedocument.presentationml.slide
